part_ID,part_name,part_type,weight,description
L-Drago II FB,L-Drago II FB,Face Bolt,1,"A face bolt that marks the L-Drago Beyblade, symbolizing its aggressive dragon spirit and tailored for attack-oriented customization."
Pegasus II FB,Pegasus II FB,Face Bolt,1,"This face bolt signifies the Pegasus Beyblade, embodying the swift and powerful mythical creature for speed and attack enhancements."
Leone I FB,Leone I FB,Face Bolt,1,"Represents the Leone Beyblade, featuring a lion emblem for defense-oriented Beyblades, emphasizing resilience and stability."
Sagittario III FB,Sagittario III FB,Face Bolt,1,"Marks the Sagittario Beyblade with an archer symbol, focusing on stamina and endurance in prolonged battles."
Orion FB,Orion FB,Face Bolt,1,"Symbolizes the Orion Beyblade, designed with balance in mind, incorporating the hunter’s precision and versatility."
L-Drago II,L-Drago II,Energy Ring,6.03,"An energy ring designed for aggressive attacking strategies, enhancing left-spin interactions and impact force"
Pegasus II,Pegasus II,Energy Ring,3.1,"Optimized for speed and rapid attacks, this energy ring facilitates quick, powerful strikes against opponents."
Leone,Leone,Energy Ring,3,"Focuses on defense, adding weight and stability to absorb and deflect incoming attacks effectively."
Sagittario II,Sagittario II,Energy Ring,2.8,"Engineered for stamina, it helps maintain rotational momentum longer, ideal for endurance matches."
Orion,Orion,Energy Ring,3.1,"A balanced energy ring that provides a mix of attack, defense, and stamina qualities for versatile performance."
Meteo,Meteo,Fusion Wheel,28.31,Designed to create unpredictable movement patterns and enhance attack capabilities through aerodynamic and weight distribution adjustments.
Galaxy,Galaxy,Fusion Wheel,29.4,"Optimized for high-speed attacks, its design focuses on aggressive strikes and rapid movements."
Rock,Rock,Fusion Wheel,31.4,"A heavily weighted fusion wheel that prioritizes defense, offering enhanced protection against attacks with its solid construction."
Flash,Flash,Fusion Wheel,45.6,"Built for explosive attack power, it features a design that maximizes contact impact with opponents."
Phantom,Phantom,Fusion Wheel,42.79,"Offers mode-changing capabilities, allowing bladers to switch between aggressive attack modes and more defensive or stamina-focused strategies."
LW105,LW105,Spin Track,1.5,A lightweight spin track designed to lower the center of gravity and increase maneuverability and speed.
W105,W105,Spin Track,1.1,"Features winged designs to provide additional lift and stability, enhancing the Beyblade's aerial capabilities and defense."
145,145,Spin Track,4.5,"A standard-height spin track that offers a balanced performance, suitable for a variety of battling styles."
230,230,Spin Track,4.6,"One of the tallest spin tracks available, providing a significant height advantage to dodge lower attacks and strike from above."
LF,LF,Performance Tip,0.71,"Left Flat, designed for aggressive, fast-paced movement in left-spin Beyblades, enhancing mobility and attack potential."
R2F,R2F,Performance Tip,0.8,"Right Rubber Flat, a performance tip for right-spin Beyblades that enables rapid, aggressive movement with increased grip."
WB,WB,Performance Tip,0.7,"Wide Ball, focused on stability and defense, its wide base helps maintain balance and resist knockouts."
WD,WD,Performance Tip,0.7,"Wide Defense, known for its balance between stamina and defense, it provides steady performance with a wider tip for enhanced endurance."
B:D,B:D,Performance Tip,3.5,"Bearing Drive, incorporates bearings to reduce friction, significantly improving stamina and stability for enduring battles."
